difference,num_moves,opening_Amazon Attack,opening_Anderssen Opening,opening_Barnes Defense,opening_Barnes Opening,opening_Benoni Defense,opening_Bird Opening,opening_Bishop's Opening,opening_Blackmar-Diemer Gambit,opening_Blackmar-Diemer Gambit Declined,opening_Blumenfeld Countergambit,opening_Bogo-Indian Defense,opening_Borg Defense,opening_Budapest Defense,opening_Canard Opening,opening_Caro-Kann Defense,opening_Carr Defense,opening_Catalan Opening,opening_Center Game,opening_Center Game Accepted,opening_Colle System,opening_Czech Defense,opening_Danish Gambit,opening_Danish Gambit Accepted,opening_Danish Gambit Declined,opening_Dutch Defense,opening_Elephant Gambit,opening_English Defense,opening_English Opening,opening_Englund Gambit,opening_Englund Gambit Complex,opening_Englund Gambit Complex Declined,opening_Englund Gambit Declined,opening_Four Knights Game,opening_Franco-Benoni Defense,opening_French Defense,opening_Gedult's Opening,opening_Giuoco Piano,opening_Goldsmith Defense,opening_Grob Opening,opening_Gruenfeld Defense,opening_Guatemala Defense,opening_Gunderam Defense,opening_Hippopotamus Defense,opening_Horwitz Defense,opening_Hungarian Opening,opening_Indian Game,opening_Italian Game,opening_Kadas Opening,opening_Kangaroo Defense,opening_King's Gambit,opening_King's Gambit Accepted,opening_King's Gambit Declined,opening_King's Indian Attack,opening_King's Indian Defense,opening_King's Knight Opening,opening_King's Pawn Game,opening_King's Pawn Opening,opening_Lasker Simul Special,opening_Latvian Gambit,opening_Latvian Gambit Accepted,opening_Lemming Defense,opening_London System,opening_Mexican Defense,opening_Mieses Opening,opening_Mikenas Defense,opening_Modern Defense,opening_Neo-Gruenfeld Defense,opening_Nimzo-Indian Defense,opening_Nimzo-Larsen Attack,opening_Nimzowitsch Defense,opening_Nimzowitsch-Larsen Attack,opening_Old Benoni Defense,opening_Old Indian,opening_Old Indian Defense,opening_Owen Defense,opening_Paleface Attack,opening_Petrov,opening_Petrov's Defense,opening_Philidor Defense,opening_Pirc Defense,opening_Polish Defense,opening_Polish Opening,opening_Ponziani Opening,opening_Portuguese Opening,opening_Queen's Gambit,opening_Queen's Gambit Accepted,opening_Queen's Gambit Declined,opening_Queen's Gambit Refused,opening_Queen's Indian Accelerated,opening_Queen's Indian Defense,opening_Queen's Pawn,opening_Queen's Pawn Game,opening_Queen's Pawn Opening,opening_Rat Defense,opening_Reti Opening,opening_Richter-Veresov Attack,opening_Robatsch (Modern) Defense,opening_Russian Game,opening_Ruy Lopez,opening_Ruy Lopez Defense,opening_Saragossa Opening,opening_Scandinavian Defense,opening_Scotch Game,opening_Semi-Bononi,opening_Semi-Slav Defense,opening_Sicilian Defense,opening_Slav Defense,opening_Slav Indian,opening_St. George Defense,opening_Tarrasch Defense,opening_Three Knights Opening,opening_Torre Attack,opening_Trompowsky Attack,opening_Van Geet Opening,opening_Van't Kruijs Opening,opening_Vienna Game,opening_Ware Defense,opening_Ware Opening,opening_Yusupov-Rubinstein System,opening_Zukertort Opening
-192,91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-33,38,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,48,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
230,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-120,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-566,94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-80,66,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-409,76,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-241,87,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
